ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,33.558308,121.327286;1,127.37651,120.22182;2,36.258305,214.07268;3,127.27147,214.30658;1739246899.717538;1739246899.7428517;0.025315284729003906#0.01792#1739246899.74292#1739246899.74664
0,33.264145,121.94803;1,127.74345,120.214775;2,36.987904,213.40611;3,128.06549,213.18861;1739246899.737533;1739246899.760149;0.022617340087890625#0.01729#1739246899.76021#1739246899.7668
0,33.57604,120.69426;1,128.07152,120.31008;2,36.8228,213.06111;3,128.25166,213.38948;1739246899.757547;1739246899.7749734;0.017427921295166016#0.01482#1739246899.77503#1739246899.7803
0,33.718735,120.311356;1,127.600044,119.95741;2,37.0381,214.23328;3,128.7077,213.95961;1739246899.7675567;1739246899.791717;0.02416205406188965#0.01677#1739246899.7918#1739246899.79689
0,34.08657,122.221596;1,128.40295,120.494995;2,36.669483,213.37798;3,127.899025,213.23384;1739246899.7875779;1739246899.809815;0.022238731384277344#0.01807#1739246899.80987#1739246899.81721
0,33.705917,120.96114;1,128.15735,120.241844;2,36.47741,213.52983;3,127.73982,213.5529;1739246899.8075938;1739246899.8248973;0.017304658889770508#0.01509#1739246899.82496#1739246899.83269
0,33.78258,120.98264;1,127.72385,120.45303;2,36.988426,213.94232;3,127.36204,214.39441;1739246899.817597;1739246899.8419275;0.024332046508789062#0.01705#1739246899.84202#1739246899.84714
0,33.79726,122.379234;1,127.437645,120.17857;2,36.815895,213.46954;3,127.63947,213.29274;1739246899.8377006;1739246899.8591828;0.0214841365814209#0.01723#1739246899.85924#1739246899.86616
0,33.653736,121.22154;1,127.151825,120.4265;2,36.361156,213.0318;3,128.21725,213.53021;1739246899.857635;1739246899.8740752;0.01644158363342285#0.01489#1739246899.87413#1739246899.88188
0,33.54717,121.732254;1,127.65092,120.77597;2,36.9269,214.01158;3,127.882645,214.66516;1739246899.86765;1739246899.8896043;0.021955490112304688#0.01553#1739246899.88966#1739246899.89419
0,33.265453,121.60932;1,127.84081,120.53461;2,36.343678,213.27252;3,127.95714,213.57271;1739246899.8876593;1739246899.906306;0.01864767074584961#0.01671#1739246899.90637#1739246899.91655
0,33.62974,121.80921;1,127.56277,120.06996;2,36.927063,213.70209;3,127.88063,214.84961;1739246899.897655;1739246899.9231992;0.025545358657836914#0.01688#1739246899.92326#1739246899.93122
0,33.992313,121.2884;1,127.909386,120.29729;2,37.022675,213.92949;3,127.45991,214.52356;1739246899.9176896;1739246899.940621;0.02293229103088379#0.01744#1739246899.9407#1739246899.94415
0,33.398575,121.80867;1,127.34359,120.41957;2,36.44486,213.51125;3,127.9134,213.38022;1739246899.9377036;1739246899.9554617;0.017759084701538086#0.01484#1739246899.95554#1739246899.95665
0,32.610535,120.806694;1,127.13112,119.805305;2,36.478783,213.57733;3,127.32278,214.24588;1739246899.9476902;1739246899.9718182;0.02412891387939453#0.01634#1739246899.97187#1739246899.97814
0,33.277836,121.02751;1,127.6457,120.14672;2,36.59059,214.20468;3,127.34992,214.2528;1739246899.9677255;1739246899.9855347;0.017810344696044922#0.01372#1739246899.98559#1739246899.99102
0,33.066185,121.20511;1,126.66384,119.830635;2,36.346813,213.84123;3,128.40622,213.83362;1739246899.977725;1739246900.0020976;0.024374723434448242#0.01657#1739246900.00217#1739246900.0036
0,33.374966,120.54707;1,127.86698,119.75397;2,36.44577,212.9746;3,127.6797,213.76958;1739246899.9977329;1739246900.018369;0.02063751220703125#0.01627#1739246900.01844#1739246900.02172
0,33.45971,120.89666;1,127.62477,119.909424;2,37.09488,214.55424;3,128.2221,214.5069;1739246900.0177677;1739246900.033377;0.015610456466674805#0.015#1739246900.03343#1739246900.04059
0,33.342155,120.82814;1,127.44355,120.51005;2,36.30528,213.75511;3,128.02756,213.99226;1739246900.0277996;1739246900.0485208;0.020722627639770508#0.01515#1739246900.04859#1739246900.05361
0,33.33151,121.52869;1,128.0131,119.748665;2,36.649044,213.76263;3,127.591095,214.10475;1739246900.0477922;1739246900.0661278;0.018336772918701172#0.01761#1739246900.0662#1739246900.06973
0,33.52706,121.549675;1,127.84436,120.98212;2,36.589306,213.28525;3,127.4607,213.39285;1739246900.0577996;1739246900.08199;0.024192094802856445#0.01586#1739246900.08207#1739246900.08346
0,33.190994,121.69002;1,127.1312,120.13018;2,36.511833,213.67752;3,127.88507,214.0654;1739246900.0778081;1739246900.0983865;0.02057957649230957#0.0164#1739246900.09846#1739246900.10377
0,33.146084,121.41622;1,127.16135,120.29135;2,36.714092,213.45605;3,127.63427,213.87129;1739246900.097815;1739246900.1161885;0.01837468147277832#0.0178#1739246900.11627#1739246900.12001
0,33.893066,121.02253;1,127.658394,120.46527;2,36.494774,213.90704;3,127.50943,213.76369;1739246900.1078439;1739246900.131948;0.024105072021484375#0.01575#1739246900.13201#1739246900.13391
0,33.48326,121.46863;1,127.68129,120.69506;2,36.55583,213.77011;3,128.05536,214.1832;1739246900.1278408;1739246900.1486702;0.020830392837524414#0.01672#1739246900.14873#1739246900.15365
0,34.139935,121.724915;1,127.54455,120.46364;2,36.44574,212.96355;3,128.38469,214.4398;1739246900.1478562;1739246900.166695;0.018840312957763672#0.01804#1739246900.16678#1739246900.17037
